"well_id","structure_id","slab_num","slab_type","structure_acronym","structure_name","polygon_id","mri_voxel_x","mri_voxel_y","mri_voxel_z","mni_x","mni_y","mni_z","corrected_mni_x","corrected_mni_y","corrected_mni_z","sampleID","probe2label","probe2dist"
370,4023,8,"CX","SFG-m","superior frontal gyrus, left, medial bank of gyrus",28050,94,54,46,0.4,44.8,33.8,-0.53674355168376,46.1784790195082,28.9586714375878,"H0351_2001",154,1.41421353816986
371,4031,8,"CX","MFG-i","middle frontal gyrus, left, inferior bank of gyrus",27932,134,68,45,-41.9,40.9,17.8,-40.5417181245506,41.8217867840463,13.6105819931539,"H0351_2001",144,0
377,4145,26,"CX","MTG-s","middle temporal gyrus, right, superior bank of gyrus",27985,54,101,147,39.6,-73.2,4.1,41.441347715146,-72.6419303438717,1.52801652377012,"H0351_2001",129,1.73205077648163
378,4024,8,"CX","SFG-l","superior frontal gyrus, left, lateral bank of gyrus",27925,115,51,49,-21.9,42,37.2,-22.064716552683,43.4290420876273,31.4144661756003,"H0351_2001",144,0
385,4051,4,"CX","MOrG","medial orbital gyrus, left",27166,104,98,25,-10,54.2,-17.6,-8.63453083488933,55.8291518051242,-25.8372755826568,"H0351_2001",148,1
387,4907,10,"CX","TP-i","temporal pole, right, inferior aspect",41168,45,122,65,51.1,7,-34.2,51.1150965154635,5.33038240297692,-35.5325108345946,"H0351_2001",155,0
388,4109,24,"CX","SMG-s","supramarginal gyrus, right, superior bank of gyrus",34999,50,59,128,44.6,-41.3,45.4,46.6903273063358,-38.4387867276049,38.1981593836423,"H0351_2001",195,3
389,4013,24,"CX","PrG-sl","precentral gyrus, left, superior lateral aspect of gyrus",35024,111,29,113,-19.2,-18.7,73.3,-21.0749988895916,-21.4519457778459,71.2585471855524,"H0351_2001",184,1
390,4106,24,"CX","SMG-s","supramarginal gyrus, left, superior bank of gyrus",35596,136,61,125,-46.1,-40.9,40.9,-45.9933527770635,-39.5407793094516,37.4634904821509,"H0351_2001",196,2.2360680103302
393,4024,6,"CX","SFG-l","superior frontal gyrus, left, lateral bank of gyrus",27725,118,55,42,-24.9,48.2,31.4,-24.2927629336915,49.2279865497807,25.6715749118774,"H0351_2001",192,0
394,4274,10,"CX","SIG","short insular gyri, right",36313,63,82,57,32.6,26.2,6.6,32.6138985007433,29.5912098306083,1.13410162190897,"H0351_2001",165,0
395,4907,10,"CX","TP-i","temporal pole, right, inferior aspect",41168,44,122,65,52.2,7.1,-34.2,52.189882325302,5.43852774189489,-35.6386040152348,"H0351_2001",155,0
396,4095,24,"CX","PoG-pcs","postcentral gyrus, right, bank of the posterior central sulcus",34998,55,58,128,39.3,-41.2,46.3,40.1892203024892,-37.4784909558461,38.1331667923088,"H0351_2001",195,0
